npa,country,region,state,timezone,status
331,US,General Purpose Code | Overlay 331/630,IL,C,active
332,US,General Purpose Code | Overlay 212/332/646/917,NY,E,active
333,001,Easily Recognizable Code,,,available
334,US,General Purpose Code | Overlay 334/483,AL,C,active
335,001,General Purpose Code,,,available
336,US,General Purpose Code | Overlay 336/743,NC,E,active
337,US,General Purpose Code,LA,C,active
338,001,General Purpose Code,,,available
339,US,General Purpose Code | Overlay 339/781,MA,E,active
340,US,General Purpose Code,VI,A,active
341,US,General Purpose Code | Overlay 341/510,CA,P,active
342,001,General Purpose Code,,,available
343,CA,eastern Ontario | General Purpose Code | Overlay 343/613/753,ONTARIO,E,active
344,001,Easily Recognizable Code,,,available
345,KY,General Purpose Code,CAYMAN ISLANDS,E,active
346,US,General Purpose Code | Overlay 281/346/621/713/832,TX,C,active
347,US,General Purpose Code | Overlay 347/465/718/917/929,NY,E,active
348,001,General Purpose Code,,,available
349,001,General Purpose Code,,,available
350,US,General Purpose Code | Overlay 209/350,CA,P,active
351,US,General Purpose Code | Overlay 351/978,MA,E,active
352,US,General Purpose Code,FL,E,active
353,US,General Purpose Code | Overlay 353/608,WI,C,active
354,CA,General Purpose Code | Overlay 354/450/579,QUEBEC,E,active
355,001,Easily Recognizable Code,,,available
356,001,General Purpose Code,,,available
357,US,General Purpose Code | Overlay 357/559,CA,P,active
358,001,General Purpose Code,,,available
359,001,General Purpose Code,,,reserved
360,US,General Purpose Code | Overlay 360/564,WA,P,active
361,US,General Purpose Code,TX,C,active
362,001,General Purpose Code,,,available
363,US,General Purpose Code | Overlay 363/516,NY,E,active
364,US,General Purpose Code | Overlay 270/364,KY,EC,active
365,CA,General Purpose Code | Overlay 289/365/742/905,ONTARIO,E,active
366,001,Easily Recognizable Code,,,available
367,CA,General Purpose Code | Overlay 367/418/581,QUEBEC,E,active
368,CA,Alberta Canada | General Purpose Code | Overlay 368/403/587/780/825,ALBERTA,M,active
369,US,General Purpose Code | Overlay 369/707,CA,P,active
370,001,General Purpose Code,,,reserved
371,001,General Purpose Code,,,reserved
372,001,General Purpose Code,,,reserved
373,001,General Purpose Code,,,reserved
374,001,General Purpose Code,,,reserved
375,001,General Purpose Code,,,reserved
376,001,General Purpose Code,,,reserved
377,001,Easily Recognizable Code,,,reserved
378,001,General Purpose Code,,,reserved
379,001,General Purpose Code,,,reserved
380,US,General Purpose Code | Overlay 380/614,OH,E,active
381,001,General Purpose Code,,,reserved
382,CA,southwestern Ontario | General Purpose Code | Overlay 226/382/519/548,ONTARIO,E,active
383,001,General Purpose Code,,,available
384,001,General Purpose Code,,,reserved
385,US,General Purpose Code | Overlay 385/801,UT,M,active
386,US,General Purpose Code,FL,E,active
387,CA,General Purpose Code,,,reserved
388,001,Easily Recognizable Code,,,available
389,001,General Purpose Code,,,reserved
390,001,General Purpose Code,,,reserved
391,001,General Purpose Code,,,reserved
392,001,General Purpose Code,,,reserved
393,001,General Purpose Code,,,reserved
394,001,General Purpose Code,,,reserved
395,001,General Purpose Code,,,reserved
396,001,General Purpose Code,,,reserved
397,001,General Purpose Code,,,reserved
398,001,General Purpose Code,,,reserved
399,001,Easily Recognizable Code,,,reserved
400,001,Easily Recognizable Code,,,available
401,US,General Purpose Code,RI,E,active
402,US,General Purpose Code | Overlay 402/531,NE,C,active
